Phase,Pacific Houseworks Labor,Specialty Trade Labor,Labor-Only Phase Total
"Preconstruction, site verification, permit/inspection coordination",1360,0,1360
"Mobilization, site protection, dust control, temporary separation",1700,0,1700
"Selective demolition, preparation, debris handling",3400,1400,4800
"Existing slab/foundation verification and raised-floor/foundation work",5100,2200,7300
"Exterior wall framing, sheathing, WRB/flashing, siding/trim tie-ins",7480,0,7480
"Windows, exterior French doors, hardware installation, sill pans, glazing coordination",2720,0,2720
"Electrical rough-in/finish, lighting, smoke/CO, exterior/GFCI/code items",1360,5500,6860
"HVAC/register extension, refrigerator access, appliance rough-in coordination",2040,3000,5040
"Cabinet/end-panel modifications and kitchen tie-in finish carpentry",3060,0,3060
"Insulation, fire separation, drywall, fire caulk, texture",6120,2800,8920
"Interior trim, paint labor, flooring labor, finish hardware installation",6800,2500,9300
"Exterior concrete/landing/grading touch-up and weatherproofing closeout",2040,3500,5540
"Final cleanup, punch list, documentation, inspection closeout",1700,0,1700
"Direct labor services subtotal",44880,20900,65780
"Project management / overhead / profit reserve",,,13156
"Labor-only estimating contingency",,,6578
"Total labor-only proposal amount",,,85514
"Rounded labor-only proposal amount",,,85500
