company,likely_waiver_count
Asylon,5
Skydio Inc.,4
Xcel Energy,4
Florida Power & Light Company,4
American Electric Power,4
Valmont,3
Koch Industries Inc,3
Pacific Gas and Electric,3
Areion UAS,3
Matternet,3
Unmanned Safety Institute,2
SkyBridge Tactical,2
New Jersey Transit Corporation,2
"Delek US Holdings, Inc.",2
Davey Resource Group,2
Southern Company Services INC,2
ERAU UAS-S Research,2
Pilot Institute,2
EpiSci,2
Zipline International Inc.,2
HighPoint AeroTechnologies,2
COLSA,2
Dominion Energy,2
Dylan Collins,2
LJA,2
Unmanned Vehicle Technologies,2
Devon Energy,2
Eye-bot Aerial Solutions,2
Pogue Construction,2
Levi Johnson,2
Rainmaker Technology Corporation,2
Great River Energy,2
Drone Express,2
Arch Aerial LLC,2
Overhead Intelligence,2
Dominion Energy Unmanned Systems Group,2
AECOM Hunt,2
Christopher Duncan,1
Massachusetts Dept of Transportation - Aeronautics Division UAS,1
Treeswift,1
Northern Plains UAS Test Site,1
42air,1
Kansas State University,1
American Water,1
Evergy,1
Thomas Walls,1
Weather Modification LLC,1
The MITRE Corporation,1
Soaring Eagle Technologies,1
"Alliance Engineering + Planning, LLC",1
Electric Power Board of Chattanooga,1
AviSight,1
Thomas Swoyer,1
InDro Robotics Inc.,1
Aims Community College,1
Tesla Inc,1
Aerodyne Measure,1
BGE UAS,1
Phillip A.B. McCoy,1
Austin Seback,1
"Westwood Professional Services, Inc",1
Jose Leandro,1
Caltrans DOC,1
ComEd,1
"AECOM Technical Services, Inc",1
Choctaw Nation of Oklahoma,1
"ReadyMonitor, LLC",1
"Percheron Professional Services, LLC",1
Eversource Energy,1
The Ohio Department of Transportation,1
Data Blanket,1
"American Robotics, Inc.",1
Big Sky Aerial Solutions,1
East Central Energy,1
TVA UAS,1
DroneUp LLC,1
DJI,1
University of Alaska Fairbanks,1
CDM Smith,1
A-Cam Aerials,1
American Bird Conservancy,1
Department of Aviation,1
AgriBugs LLC.,1
Warren County Community College,1
SEAKdrones LLC,1
Turner Construction,1
Caltrans Division of Construction,1
Ryan Rash,1
Keith Aubin,1
Archer Daniels Midland,1
Boeing sUAS Operations,1
FAA Flight Program Operations,1
"Phoenix Air Unmanned, LLC",1
Datapoint,1
Troy Sakihara,1
RTX BBN,1
Valentine Brand,1
"ArgenTech Solutions, Inc.",1
Cooperative Energy,1
Aerius Focus LLC,1
Joseph Lankford,1
Marc Wrolsen,1
Paul Shepard,1
Remnant Technology Inc,1
"Carotene, LLC",1
Liberty University,1
Florida Highway Patrol,1
Anduril Industies,1
Flagler County BOCC,1
Christian Stallings,1
Thomas Kirk,1
"AKDRONE, LLC",1
Chris Mullins,1
Legacy Restoration LLC,1
Avol,1
NUAIR Alliance,1
"Aerial Pet Recovery, Inc.",1
AERIALOOP,1
"Harkins Builders, Inc.",1
Santaquin Police Department,1
Owasso Police,1
Dept. of the Army Criminal Investigation Division,1
GBR Drone and Robotics Team (DART),1
Drones Made Easy,1
SAM LLC,1
SAN DIEGO GAS & ELECTRIC,1
Aerial Innovation Solutions LLC,1
Anduril Industries,1
Stephen Warr,1
Tanner Beard,1
GreenSight Agronomics,1
Censys Technologies,1
Michels Corporation,1
"FlyGuys, Inc.",1
United Utility AirOps,1
Riley De Mattos,1
Blue Origin LLC,1
St. Lucie County Sheriff,1
Dove Aerial Services LLC,1
Shell Pipeline Company,1
"General Dynamics Information Technology, Inc",1
Robotic Services,1
Wing,1
OVRWatch,1
EDKO LLC,1
Avol Inc.,1
Matt Dill,1
Avista Utilities,1
LuluPepper Media LLC,1
Island Conservation,1
"JV Farms, Inc.",1
Kent Moyer,1
William Moskowitz,1
Layton Construction,1
Robert Eguires,1
Kennecott Utah Copper LLC,1
Justin Padgett,1
2A Tactical,1
Anthony Sam,1
Lyondellbasell,1
Edward Ashley,1
ResilienX Inc.,1
National Grid Aviation Department,1
PowderSkiPatrol,1
"Eagle-Eye Aerial Solutions, LLC",1
Jenness Keller,1
Justin Nelson,1
Blue Ridge Electric Membership Corporation,1
Trust Automation Inc,1
IOHK Drone Program,1
Mesa Associates Inc,1
R.B. Jergens,1
MassDOT Aeronautics,1
